Tick,CPU_Task,CPU_Util%,TaskID,Name,State
91,T4,90.2174,5,T5,finished
91,T4,90.2174,6,T6,ready
92,IDLE,90.3226,1,T1,finished
92,IDLE,90.3226,2,T2,finished
92,IDLE,90.3226,3,T3,ready
92,IDLE,90.3226,4,T4,finished
92,IDLE,90.3226,5,T5,finished
92,IDLE,90.3226,6,T6,ready
93,T3,90.4255,1,T1,finished
93,T3,90.4255,2,T2,finished
93,T3,90.4255,3,T3,running
93,T3,90.4255,4,T4,finished
93,T3,90.4255,5,T5,finished
93,T3,90.4255,6,T6,ready
94,IDLE,90.5263,1,T1,finished
94,IDLE,90.5263,2,T2,finished
94,IDLE,90.5263,3,T3,finished
94,IDLE,90.5263,4,T4,finished
94,IDLE,90.5263,5,T5,finished
94,IDLE,90.5263,6,T6,ready
95,T6,90.625,1,T1,finished
95,T6,90.625,2,T2,finished
95,T6,90.625,3,T3,finished
95,T6,90.625,4,T4,finished
95,T6,90.625,5,T5,finished
95,T6,90.625,6,T6,running
96,T6,90.7216,1,T1,ready
96,T6,90.7216,2,T2,ready
96,T6,90.7216,3,T3,finished
96,T6,90.7216,4,T4,finished
96,T6,90.7216,5,T5,finished
96,T6,90.7216,6,T6,running
97,IDLE,90.8163,1,T1,ready
97,IDLE,90.8163,2,T2,ready
97,IDLE,90.8163,3,T3,finished
97,IDLE,90.8163,4,T4,finished
97,IDLE,90.8163,5,T5,finished
97,IDLE,90.8163,6,T6,finished
98,IDLE,90.9091,1,T1,ready
98,IDLE,90.9091,2,T2,finished
98,IDLE,90.9091,3,T3,finished
98,IDLE,90.9091,4,T4,finished
98,IDLE,90.9091,5,T5,finished
98,IDLE,90.9091,6,T6,finished
99,IDLE,91,1,T1,finished
99,IDLE,91,2,T2,finished
99,IDLE,91,3,T3,finished
99,IDLE,91,4,T4,finished
99,IDLE,91,5,T5,finished
99,IDLE,91,6,T6,finished
100,T3,91.0891,1,T1,finished
100,T3,91.0891,2,T2,finished
100,T3,91.0891,3,T3,running
100,T3,91.0891,4,T4,finished
100,T3,91.0891,5,T5,ready
100,T3,91.0891,6,T6,finished
101,IDLE,91.1765,1,T1,finished
101,IDLE,91.1765,2,T2,finished
101,IDLE,91.1765,3,T3,finished
101,IDLE,91.1765,4,T4,finished
101,IDLE,91.1765,5,T5,ready
101,IDLE,91.1765,6,T6,finished
102,IDLE,91.2621,1,T1,finished
