META,DeadlineMisses,140
META,CPUUtil,100
Tick,CPU_Task,CPU_Util%,TaskID,Name,State
31,T6,100,3,T3,missed
31,T6,100,4,T4,ready
31,T6,100,5,T5,finished
31,T6,100,6,T6,running
31,T6,100,7,T7,finished
31,T6,100,8,T8,finished
31,T6,100,9,T9,finished
31,T6,100,10,T10,finished
32,IDLE,100,1,T1,missed
32,IDLE,100,2,T2,ready
32,IDLE,100,3,T3,missed
32,IDLE,100,4,T4,ready
32,IDLE,100,5,T5,ready
32,IDLE,100,6,T6,finished
32,IDLE,100,7,T7,finished
32,IDLE,100,8,T8,finished
32,IDLE,100,9,T9,finished
32,IDLE,100,10,T10,finished
33,IDLE,100,1,T1,missed
33,IDLE,100,2,T2,ready
33,IDLE,100,3,T3,missed
33,IDLE,100,4,T4,ready
33,IDLE,100,5,T5,finished
33,IDLE,100,6,T6,finished
33,IDLE,100,7,T7,finished
33,IDLE,100,8,T8,finished
33,IDLE,100,9,T9,finished
33,IDLE,100,10,T10,finished
34,T4,100,1,T1,missed
34,T4,100,2,T2,ready
34,T4,100,3,T3,missed
34,T4,100,4,T4,running
34,T4,100,5,T5,finished
34,T4,100,6,T6,finished
34,T4,100,7,T7,finished
34,T4,100,8,T8,finished
34,T4,100,9,T9,finished
34,T4,100,10,T10,finished
35,T4,100,1,T1,missed
35,T4,100,2,T2,ready
35,T4,100,3,T3,missed
35,T4,100,4,T4,missed
35,T4,100,5,T5,finished
35,T4,100,6,T6,finished
35,T4,100,7,T7,finished
35,T4,100,8,T8,finished
35,T4,100,9,T9,finished
35,T4,100,10,T10,finished
36,IDLE,100,1,T1,missed
36,IDLE,100,2,T2,ready
36,IDLE,100,3,T3,missed
36,IDLE,100,4,T4,ready
36,IDLE,100,5,T5,finished
36,IDLE,100,6,T6,finished
36,IDLE,100,7,T7,finished
36,IDLE,100,8,T8,finished
36,IDLE,100,9,T9,finished
36,IDLE,100,10,T10,finished
37,IDLE,100,1,T1,missed
37,IDLE,100,2,T2,missed
37,IDLE,100,3,T3,missed
37,IDLE,100,4,T4,finished
37,IDLE,100,5,T5,finished
37,IDLE,100,6,T6,finished
37,IDLE,100,7,T7,finished
37,IDLE,100,8,T8,finished
37,IDLE,100,9,T9,finished
37,IDLE,100,10,T10,finished
38,IDLE,100,1,T1,missed
38,IDLE,100,2,T2,missed
38,IDLE,100,3,T3,missed
38,IDLE,100,4,T4,finished
38,IDLE,100,5,T5,finished
38,IDLE,100,6,T6,finished
38,IDLE,100,7,T7,finished
38,IDLE,100,8,T8,finished
38,IDLE,100,9,T9,finished
38,IDLE,100,10,T10,finished
39,T4,100,1,T1,missed
39,T4,100,2,T2,missed
39,T4,100,3,T3,missed
39,T4,100,4,T4,running
39,T4,100,5,T5,finished
39,T4,100,6,T6,finished
39,T4,100,7,T7,finished
39,T4,100,8,T8,finished
39,T4,100,9,T9,finished
39,T4,100,10,T10,finished
40,IDLE,100,1,T1,ready
40,IDLE,100,2,T2,missed
40,IDLE,100,3,T3,missed
40,IDLE,100,4,T4,ready
40,IDLE,100,5,T5,ready
40,IDLE,100,6,T6,ready
40,IDLE,100,7,T7,finished
40,IDLE,100,8,T8,finished
40,IDLE,100,9,T9,finished
40,IDLE,100,10,T10,finished
41,T6,100,1,T1,ready
41,T6,100,2,T2,missed
41,T6,100,3,T3,missed
41,T6,100,4,T4,ready
41,T6,100,5,T5,ready
41,T6,100,6,T6,running
41,T6,100,7,T7,finished
41,T6,100,8,T8,finished
41,T6,100,9,T9,finished
41,T6,100,10,T10,finished
42,IDLE,100,1,T1,ready
42,IDLE,100,2,T2,missed
42,IDLE,100,3,T3,missed
42,IDLE,100,4,T4,ready
42,IDLE,100,5,T5,ready
42,IDLE,100,6,T6,finished
42,IDLE,100,7,T7,finished
42,IDLE,100,8,T8,finished
42,IDLE,100,9,T9,finished
42,IDLE,100,10,T10,finished
43,IDLE,100,1,T1,ready
43,IDLE,100,2,T2,missed
43,IDLE,100,3,T3,missed
43,IDLE,100,4,T4,ready
43,IDLE,100,5,T5,finished
43,IDLE,100,6,T6,finished
43,IDLE,100,7,T7,finished
43,IDLE,100,8,T8,finished
43,IDLE,100,9,T9,finished
43,IDLE,100,10,T10,finished
44,T4,100,1,T1,ready
44,T4,100,2,T2,missed
44,T4,100,3,T3,missed
44,T4,100,4,T4,running
44,T4,100,5,T5,finished
44,T4,100,6,T6,finished
44,T4,100,7,T7,finished
44,T4,100,8,T8,finished
44,T4,100,9,T9,finished
44,T4,100,10,T10,finished
45,IDLE,100,1,T1,missed
45,IDLE,100,2,T2,missed
45,IDLE,100,3,T3,missed
45,IDLE,100,4,T4,ready
45,IDLE,100,5,T5,finished
45,IDLE,100,6,T6,finished
45,IDLE,100,7,T7,finished
45,IDLE,100,8,T8,finished
45,IDLE,100,9,T9,finished
45,IDLE,100,10,T10,finished
46,T4,100,1,T1,missed
46,T4,100,2,T2,missed
46,T4,100,3,T3,missed
46,T4,100,4,T4,running
46,T4,100,5,T5,finished
46,T4,100,6,T6,finished
46,T4,100,7,T7,finished
46,T4,100,8,T8,finished
46,T4,100,9,T9,finished
46,T4,100,10,T10,finished
47,T4,100,1,T1,missed
47,T4,100,2,T2,missed
47,T4,100,3,T3,missed
47,T4,100,4,T4,missed
47,T4,100,5,T5,finished
47,T4,100,6,T6,finished
47,T4,100,7,T7,finished
47,T4,100,8,T8,finished
47,T4,100,9,T9,finished
47,T4,100,10,T10,finished
48,IDLE,100,1,T1,missed
48,IDLE,100,2,T2,missed
48,IDLE,100,3,T3,ready
48,IDLE,100,4,T4,ready
